Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
wavelet-H_firstorder_Entropy,190,12,0.9892361931400392,1.5225095551371768,298.0,1.829138326896425e-05,-0.7385964912280703,3.302851670841412e-05,True,0.7385964912280703
lbp-2D_firstorder_Skewness,190,12,0.9361060555880952,0.5059967097250981,1980.0,1.9147736962471617e-05,0.736842105263158,3.441173482406455e-05,True,0.736842105263158
glcm_Idmn,190,12,0.9989453171191812,0.9788287665950982,1979.0,1.9590103261797896e-05,0.7359649122807017,3.50414523133568e-05,True,0.7359649122807017
wavelet-L_firstorder_Maximum,190,12,261.5040520470321,225.1775068647605,1977.0,2.0504204100987165e-05,0.7342105263157894,3.650514842278556e-05,True,0.7342105263157894
gradient_glcm_Idn,190,12,0.9904717691310204,0.9201169053084748,1976.5,2.073885216421017e-05,0.7337719298245613,3.6751175230530574e-05,True,0.7337719298245613
wavelet-L_glcm_JointEnergy,190,12,0.0348800220865202,0.1757144273429902,306.0,2.195186037132753e-05,-0.7315789473684211,3.872064259942496e-05,True,0.7315789473684211
exponential_glcm_Imc1,190,12,-0.7367145816357169,-0.24709572260879,309.0,2.3406605723360995e-05,-0.7289473684210526,4.10963906940117e-05,True,0.7289473684210526
wavelet-L_glcm_Idn,190,12,0.9838746138014572,0.9318639534845308,1970.0,2.4033939518206955e-05,0.7280701754385965,4.200427044237087e-05,True,0.7280701754385965
wavelet-H_firstorder_Maximum,190,12,8.450494840501445,45.58183985291395,311.0,2.458308754440856e-05,-0.7271929824561403,4.276783723479297e-05,True,0.7271929824561403
square_firstorder_Variance,190,12,2267.7784336944724,900.0731949209807,1967.0,2.571739815617563e-05,0.725438596491228,4.453785771592234e-05,True,0.725438596491228
glcm_Correlation,190,12,0.9884528087092594,0.6536350601081011,1966.0,2.630305345534589e-05,0.724561403508772,4.493929760756405e-05,True,0.724561403508772
squareroot_glcm_DifferenceAverage,190,12,0.4063338099797566,0.9397252079923354,314.0,2.630305345534589e-05,-0.724561403508772,4.493929760756405e-05,True,0.724561403508772
logarithm_glcm_Idn,190,12,0.9790948680278968,0.9332562746902152,1966.0,2.630305345534589e-05,0.724561403508772,4.493929760756405e-05,True,0.724561403508772
logarithm_glcm_MaximumProbability,190,12,0.1833464911956485,0.4164890534640022,316.0,2.7512631220895428e-05,-0.7228070175438597,4.67960379248266e-05,True,0.7228070175438597
glcm_Idn,190,12,0.9843883521705196,0.9294115350410348,1956.0,3.2900703715320926e-05,0.7157894736842105,5.571185829127677e-05,True,0.7157894736842105
gradient_firstorder_Kurtosis,190,12,7.678300495431459,4.029189930948906,1955.0,3.364076573678953e-05,0.7149122807017543,5.64631354436864e-05,True,0.7149122807017543
wavelet-L_glcm_Correlation,190,12,0.9884309065558912,0.735530995089689,1955.0,3.364076573678953e-05,0.7149122807017543,5.64631354436864e-05,True,0.7149122807017543
glcm_MCC,190,12,0.9892397866349112,0.7477131436479375,1954.0,3.43966221274193e-05,0.7140350877192982,5.747856592345066e-05,True,0.7140350877192982
square_glcm_SumSquares,190,12,3.370269380236257,1.3093306157588718,1951.0,3.676215786298876e-05,0.7114035087719299,6.089731367738573e-05,True,0.7114035087719299
squareroot_firstorder_Maximum,190,12,219.44178122377596,197.5933253652046,1951.0,3.676215786298876e-05,0.7114035087719299,6.089731367738573e-05,True,0.7114035087719299
glcm_JointEnergy,190,12,0.0519139260634877,0.1930504510027025,330.0,3.758442205346515e-05,-0.7105263157894737,6.172269311366476e-05,True,0.7105263157894737
square_firstorder_Median,190,12,26.42474676050276,58.0380668332574,330.0,3.758442205346515e-05,-0.7105263157894737,6.172269311366476e-05,True,0.7105263157894737
logarithm_glcm_Idmn,190,12,0.9958120949020508,0.9670240940436148,1944.0,4.289663981480908e-05,0.7052631578947368,7.014429085597537e-05,True,0.7052631578947368
